#Aplitude 	 time 	 aplitude error 
308.58742385621065	0.0	4
494.4981992012268	0.10101010101010101	4
643.8121752268623	0.20202020202020202	4
691.5510572568866	0.30303030303030304	4
632.5726948939275	0.40404040404040403	4
480.8553329343525	0.5050505050505051	4
306.03916077732316	0.6060606060606061	4
170.02966570721946	0.7070707070707071	4
124.43486957581891	0.8080808080808081	4
191.73515925845012	0.9090909090909091	4
332.9291172409801	1.0101010101010102	4
501.2363625980184	1.1111111111111112	4
626.8335295481852	1.2121212121212122	4
662.9562815437323	1.3131313131313131	4
597.7347387308936	1.4141414141414141	4
456.0552516011297	1.5151515151515151	4
297.72581695483376	1.6161616161616161	4
182.46323730367817	1.7171717171717171	4
153.2071264458242	1.8181818181818181	4
222.18243704036854	1.9191919191919191	4
355.9185824741256	2.0202020202020203	4
505.28663486391986	2.121212121212121	4
612.3795548792602	2.2222222222222223	4
638.8991444176778	2.323232323232323	4
570.8496027531803	2.4242424242424243	4
437.68886900517145	2.525252525252525	4
295.6267989654766	2.6262626262626263	4
198.09672836589655	2.727272727272727	4
178.89378521433522	2.8282828282828283	4
248.46361007959035	2.929292929292929	4
376.32284135042187	3.0303030303030303	4
508.90579992958203	3.131313131313131	4
601.0644994148971	3.2323232323232323	4
612.000309000796	3.3333333333333335	4
544.9125705762622	3.4343434343434343	4
419.9598190130026	3.5353535353535355	4
293.8463650098741	3.6363636363636362	4
209.33955168900764	3.7373737373737375	4
204.30598135589966	3.8383838383838382	4
270.8202024290423	3.9393939393939394	4
391.9196378959467	4.040404040404041	4
510.5179939926236	4.141414141414141	4
586.5876088786696	4.242424242424242	4
587.6577416399194	4.343434343434343	4
521.4306994116199	4.444444444444445	4
407.1196709180381	4.545454545454545	4
292.75836777056753	4.646464646464646	4
223.8479091599695	4.747474747474747	4
226.09048957809378	4.848484848484849	4
292.4471257172889	4.94949494949495	4
404.4721424009416	5.05050505050505	4
509.32109390852065	5.151515151515151	4
572.4371603742593	5.252525252525253	4
566.4138587917395	5.353535353535354	4
500.60227171586456	5.454545454545454	4
397.21653472970576	5.555555555555555	4
296.49698780067376	5.656565656565657	4
241.25513277725065	5.757575757575758	4
247.77160818814718	5.858585858585858	4
312.95467171597164	5.959595959595959	4
412.53859640735567	6.0606060606060606	4
505.88216442100844	6.161616161616162	4
559.4059212114215	6.262626262626262	4
547.8275780792444	6.363636363636363	4
480.8309792854542	6.4646464646464645	4
388.5275727610635	6.565656565656566	4
297.36676772562225	6.666666666666667	4
252.16850300057487	6.767676767676767	4
263.7081732066661	6.8686868686868685	4
329.2155423951001	6.96969696969697	4
421.08215889457756	7.070707070707071	4
503.2405434783767	7.171717171717171	4
545.114406752734	7.2727272727272725	4
529.8236504851769	7.373737373737374	4
468.1321286970313	7.474747474747475	4
377.75132568184745	7.575757575757575	4
301.0236081412685	7.6767676767676765	4
263.53547876857175	7.777777777777778	4
282.8295172917618	7.878787878787879	4
343.4492026386781	7.979797979797979	4
429.41856034455753	8.080808080808081	4
499.9124223516147	8.181818181818182	4
532.6273329442159	8.282828282828282	4
515.1965028982705	8.383838383838384	4
454.80210703521163	8.484848484848484	4
373.99099175612696	8.585858585858587	4
306.34355180856267	8.686868686868687	4
276.50876852056973	8.787878787878787	4
297.0985671883086	8.88888888888889	4
357.0267957801614	8.98989898989899	4
431.5198468190589	9.09090909090909	4
494.1202942814995	9.191919191919192	4
521.8012174084071	9.292929292929292	4
500.5093843859618	9.393939393939394	4
440.683210938211	9.494949494949495	4
369.53985287849633	9.595959595959595	4
309.43281913538647	9.696969696969697	4
289.05634326187516	9.797979797979798	4
312.38185486908293	9.8989898989899	4
367.71988759204515	10.0	4
